FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_MCAL_MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_ BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,EXT_ITEM,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_OP_OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_HB,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_CNTY,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,DISP_TRNFR,INTER_TFR,CONTRIBTNS,INC_INVEST,DIST_REV,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CUR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_ REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER-REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PRD_HR_NON,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,PD_HR_NON
106580996,ADVENTIST HEALTH AND RIDEOUT,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Yuba,2,227,Non-Profit,General,Comparable,,530-749-4545,726 4TH STREET,MARYSVILLE,95901,CHRIS CHAMPLIN,CEO,,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",3,05-0133,1720088354,,221,221,192,31228,4719,3856,16605,0,2526,6562,0,342,65838,4848,703,760,3451,0,542,1585,0,152,12041,221,0,0,0,0,0,65838,0,0,0,0,0,12041,0,0,0,0,0,81.6,81.6,5.5,5.5,14,2754,1711,63113,7849,10353,55798,0,15827,30147,0,7555,190642,60975,14797,0,117161,0,6,213973,164925,1702,2160,1260,567,1926691757,1483982023,0,442709734,8049891,518870670,-68111045,2978764,21502513,0,0,-86634794,439091820,160945924,1326654013,555074589,80720957,73607246,294982147,0,81267334,133852472,0,6808806,1226313551,249430938,29711701,33954314,203202008,0,41397260,121364259,0,21317726,700378206,642696816,79290990,86599253,392465658,-259180,0,72360704,137006320,20978531,0,18270458,0,34572473,0,0,0,0,153232927,28746557,15083335,104441863,0,29301959,103282023,0,8621070,0,-26744351,0,293437,0,0,117383502,44970196,169587344,0,0,0,0,53231235,4552858,109975928,19169607,128182424,63350203,42376721,34012258,78678013,129887587,18791773,1185978,1022423,4825480,16557810,123752432,0,312857776,7286000,3703790,3566994,451166992,158227352,0,159492478,133447162,451166992,0,328020273,-252874476,393542782,155096449,574519176,261661400,0,0,147162000,160771178,1278700,3759456,36217738,1854,972,3543425,437859,3981284,297,0,144514,1225684,1663166,2314,231452,108140,37714,5864,124577,0,1656334,127185,1229918,0,259385,22316,248287,0,1782545,145457,1468094,0,288521,24582,272085,0
106150788,ADVENTIST HEALTH BAKERSFIELD,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,DANIEL WOLCOTT,PRESIDENT,WWW.ADVENTISTHEALTH.ORG/BAKERSFIELD,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0455,HSC30455F,ZZT30455F,254,254,195,13520,14215,3288,14021,0,4867,18095,0,865,68871,3104,3123,748,3280,0,950,4372,0,176,15753,254,0,0,0,0,0,68871,0,0,0,0,0,15753,0,0,0,0,0,74.3,74.3,4.4,4.4,0,0,0,58971,25180,4967,54175,0,14447,91695,0,7956,257391,57852,179810,0,30165,0,4,267135,419417,3290,5590,1584,569,2493914916,2015638252,0,478276664,17363689,486040726,9599627,5763534,11081909,0,0,4281252,445991253,288888220,1759035443,311763544,336988963,63391675,287899803,0,97633580,378395297,0,15692414,1491765276,198199665,150504901,18521170,219516658,0,83858794,313536986,0,18011466,1002149640,432786628,411441135,60117014,406270546,0,0,134935479,520543019,10750497,0,4338718,0,34455216,0,0,0,0,76016756,74991758,21317415,100130013,0,40953543,162812982,0,2054197,0,0,0,4479893,0,0,87241254,45132727,159169162,0,0,96242,0,46263019,1004876,137130309,10003137,113214842,53963155,33306734,28561143,90316883,86202888,9455782,2633411,1494459,2620497,64270932,248677553,0,138580874,2820998,0,287182,390366607,82561398,0,101285539,206519670,390366607,98917416,392981571,-327806553,183973032,127224249,337689332,199108458,2056268,8809850,0,105124145,3838606,21977098,130521492,1207,586,2352723,315106,2667829,562,0,165313,826431,856022,15880,196748,125549,0,10143,150448,6189,842675,419167,734531,1415,179012,5017,170906,0,961859,480782,834805,1664,196079,5566,187074,0
106171049,ADVENTIST HEALTH CLEARLAKE,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Lake,1,115,Non-Profit,General,Comparable,Rural,707-995-5705,15630 18TH AVENUE,CLEARLAKE,95422,COLLEEN ASSAVAPISITKUL,PRESIDENT,WWW.ADVENTISTHEALTH.ORG/CLEAR-LAKE,ADVENTIST HEALTH,JOLYNE SCHNEIDER,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-1317,1124018031,,25,25,18,3020,389,127,1675,0,407,365,4,91,6078,613,75,41,442,0,62,96,1,23,1353,23,0,0,0,2,0,5699,0,0,0,379,0,1313,0,0,0,40,0,66.6,66.6,4.5,4.3,0,0,0,132307,12367,48390,114527,0,8840,50774,45,7215,374465,17862,251510,0,104029,0,2,9540,107790,142,1785,125,32,423083664,276800627,7043897,153326934,6998853,177554846,-17229059,2979740,224413,0,0,-14473732,39539179,148203857,235340628,46877713,6181877,2320269,27506079,0,5951634,6395627,50482,1248706,96532387,119448848,12263620,19921066,106342930,0,13250223,45439979,60796,9823815,326551277,107212060,10628012,3143908,102976306,-1169250,0,12275927,27789613,4721105,0,1697649,0,7525297,0,4413896,0,2630001,57292588,7520061,18245918,34025813,0,6065179,25458047,0,4719328,0,0,0,1977,0,0,12698985,62027372,33026871,0,0,42478,0,14799941,6534223,42837550,5587426,46147087,22678367,27784369,3842412,13305639,51234157,3748608,1314044,483783,1909047,5107333,80776693,0,39687565,1125701,0,237616,121827575,48665844,0,65834360,7327371,121827575,31385255,38598533,-6845377,46286882,30979252,93387358,53699793,0,0,65338000,70607818,4773458,1283006,10961427,569,206,1061183,140457,1201640,64,0,90798,140340,129860,32774,249561,320422,46569,32299,15862,2698,94092,607511,193292,0,69547,0,96741,0,105165,694222,218209,0,79039,0,105005,0
106150706,ADVENTIST HEALTH DELANO,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DANIEL WOLCOTT,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/DELANO,ADVENTIST HEALTH,MATT BEYMER,"TOYON ASSOCIATES, INC.",,05-0608,HSC30608G,ZZT60608G,156,156,77,7961,1545,10111,3755,0,1172,1038,0,156,25738,529,184,734,425,0,138,82,0,23,2115,105,0,0,0,51,0,8900,0,0,0,16838,0,2092,0,0,0,23,0,45.2,45.2,12.2,4.3,16,916,536,8971,4278,7373,42806,0,11920,4312,0,4159,83819,23564,18002,0,42293,0,4,38280,63120,638,1052,355,167,224116455,125219501,0,98896954,4812451,102627401,1082004,4963617,241741,0,0,5803880,37494583,31349569,155272303,33711059,11829330,45362696,26670773,0,8958198,5428418,0,1752326,133712800,10583842,5043373,6690607,44497891,0,14016362,4737203,0,4834377,90403655,31420315,7634725,24319482,41314482,-3616918,0,13008534,4367639,3050704,0,749338,0,2971200,0,0,0,0,12377828,8736013,29235474,31887360,0,8689851,3795461,0,4174967,0,0,27633,4631838,0,0,20493948,13775225,27363206,0,0,0,0,13938166,1595954,21205191,4255711,26365867,11838043,8927112,8315741,13273087,19714874,5699696,544883,365631,452396,7130071,153989039,0,48108715,64568,0,0,202162322,20546732,0,15032316,166583274,202162322,119535557,23800758,-14625224,81919349,63541961,155646957,107538242,0,233422,15000000,15233422,201106,529381,5280528,412,180,811389,78869,890258,108,0,50010,256670,134251,62059,147753,88821,31135,8386,30683,1621,277092,126707,217637,0,79537,44751,65665,0,305898,138057,240843,0,86216,48319,70925,0
106190323,ADVENTIST HEALTH GLENDALE,1/1/2021,12/31/2021,365,Audited,Excl. Ind. Audit Adj.,Los Angeles,11,909,Non-Profit,General,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,ALICE ISSAI,CEO,GLENDALEADVENTIST.COM,ADVENTIST HEALTH,ALEXANDER JUNG,"TOYON ASSOCIATES, INC.",,05-0239,HSC30067F,ZZT30067F,515,450,294,37303,10237,12722,15669,0,13039,13685,0,1155,103810,6826,2004,1773,2960,0,1065,2254,0,95,16977,367,80,0,28,40,0,71090,14259,0,6420,12041,0,14055,1505,0,509,908,0,55.2,63.2,6.1,5.7,30,2894,1580,58068,15100,3966,41771,0,2958,48486,0,3669,174018,43947,31957,0,95857,0,8,233940,239910,2784,3168,1023,680,3097907515,2612737417,0,485170098,8697016,536212249,-42345135,13782758,17559570,0,0,-46121947,679274542,314108124,2104524849,900914276,269885009,168363234,401591310,0,68504797,314846361,0,12572431,2136677418,281997549,96065090,23211505,248855155,0,17642823,274375529,0,19082446,961230097,1021745613,300225486,153064222,548096778,0,0,78462242,447174852,9411989,0,11434860,0,43121375,0,0,0,0,154424212,63345502,31058533,100275831,0,4247197,129928889,0,1889934,0,0,2676357,2559427,0,0,128743305,34761604,140163983,0,0,506456,6802359,68674584,8568390,122684853,25306715,154376774,61841054,23054710,29926232,79983264,99571226,15386039,5036707,2390833,5371787,59273623,152789713,0,190090681,2421044,0,5874003,351175441,102512275,0,198916443,49746723,351175441,30330548,581995307,-504543150,396713522,124690356,535284342,345193661,0,27589634,0,205813634,6897191,19861446,203524473,1675,762,3206955,446589,3653544,400,20,272392,929261,1056659,45804,327721,203971,73430,128105,154330,15282,1344539,302273,840310,77726,322621,26046,293440,0,1525982,339475,944281,80580,350605,28726,383895,0
106164029,ADVENTIST HEALTH HANFORD,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Kings,9,615,Non-Profit,General,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93232,ANDREA KOFL,PRESIDENT,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,JENNY DABROWSKI,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-0121,1538141627,,235,235,158,14338,6669,8246,14969,0,2595,4738,108,856,52519,2504,1167,1465,3543,0,557,1173,21,222,10652,235,0,0,0,0,0,52519,0,0,0,0,0,10652,0,0,0,0,0,61.2,61.2,4.9,4.9,8,3745,1970,30062,14691,11633,93977,0,16462,43516,575,9483,220399,84401,104852,0,39175,4188,10,149790,372840,1853,5103,1561,724,1377106722,1001782005,21349215,396673932,17875397,341520930,73028399,19836949,13352695,0,0,79512653,143515177,328466312,905125233,163480130,74579473,46777248,166581182,0,30669009,55510894,1102823,18245546,556946305,136294550,59244395,34898050,332683894,0,59292646,165982070,1733675,30031137,820160417,234591931,108129704,45488122,379650641,-5890150,0,57068834,131218180,12583432,0,4296332,0,34644979,0,21349215,0,0,65182749,25694164,36132402,145448740,0,32892821,90274784,0,1048272,0,0,0,18348810,0,0,55569969,25723463,98441194,11113347,0,0,618542,45918227,3806070,78242613,22087505,89425324,37138403,28178824,15735698,50519260,81980550,12955052,1517561,3506245,7177844,13386169,567273607,0,170867303,545262,17586874,0,756273046,76125127,0,239115305,441032614,756273046,431170743,216118193,-165487340,259553970,110866647,394254949,223387646,0,4220782,0,241470814,2355509,2478313,253579146,1002,381,1808516,323594,2132110,262,16,108675,691653,603274,3134,153528,107442,80548,11388,32730,16144,573716,197989,622305,3836,197523,10275,202872,0,690397,237275,738656,3932,222055,10870,228925,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Mendocino,1,112,Non-Profit,General,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JUDSON HOWE,CEO,WWW.ADVENTISTHEALTH.ORG/HOWARD-MEMORIAL,ADVENTIST HEALTH,MATTHEW GOSS,"STRATEGIC REIMBURSEMENT GROUP, LLC",4,05-1310,1356339543,,25,25,23,4076,819,297,1777,0,323,772,0,70,8134,971,129,60,374,0,74,195,0,41,1844,21,0,0,0,4,0,7213,0,0,0,921,0,1726,0,0,0,118,0,89.1,89.1,4.4,4.2,0,0,0,21376,3165,1180,18448,0,2604,12174,0,2273,61220,13082,20141,0,28188,0,4,77685,54570,860,721,0,0,298815791,214180317,3350939,87986413,5171809,85361319,7796903,2869463,378689,0,0,10287677,39369412,41236708,218209671,86616198,13196167,6213880,33584033,0,5821836,20078174,0,1942803,167453091,44750554,6522964,3092384,40035218,0,5770758,26592860,0,4597962,131362700,95456258,14988760,6621361,54656274,-592785,0,6904666,25188080,4795367,0,557163,0,5605173,2609932,741007,0,0,33728038,7182888,2701830,19955574,0,3653310,20094999,0,669774,0,0,0,2457117,0,0,11078429,11231253,28324802,0,0,0,0,10304358,1658221,16003866,6760390,23250535,9537390,9026039,1903905,12293490,18156336,4225609,3249500,197243,885093,2636179,86185771,0,54679709,109280,0,0,140974760,24284241,0,28533132,88157387,140974760,67713143,16015059,-3986310,68708287,25049431,95541396,40861687,0,0,28845000,28845000,311868,0,4936623,229,75,417665,71838,489503,72,0,37417,148184,102306,3226,39413,27733,20491,26250,11228,1417,97880,64047,163108,0,54115,181,38317,17,113941,72812,189634,0,59211,193,46761,6951
106390923,ADVENTIST HEALTH LODI MEMORIAL,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,San Joaquin,6,505,Non-Profit,General,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,TERRI DAY,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/LODIMEMORIAL/PAGES/HOME.ASPX,"LODI MEMORIAL HOSPITAL ASSOCIATION, INC.",RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0336,HSC00336F,ZZT00336F,194,194,90,10129,4996,2556,7058,0,996,4752,0,242,30729,2352,1081,560,1520,0,226,1006,0,65,6810,186,0,0,8,0,0,28308,0,0,2421,0,0,6637,0,0,173,0,0,43.4,43.4,4.5,4.5,15,1168,995,40857,14423,5717,51963,0,8265,34416,0,4899,160540,47317,56447,0,53580,1598,6,98040,265020,1194,3505,574,357,1713732080,1458900346,156243,254987977,7775138,252443913,10319202,3365726,12000391,0,0,1684537,325911220,207265661,1180555199,325535286,147042136,74892086,209158043,0,26911072,145530736,0,8674672,937744031,206235408,79369354,28742678,216035384,0,29895135,189882256,0,25827834,775988049,471726225,201975560,85901231,374446788,0,0,44783295,229982276,9499313,0,4210587,0,36375071,0,156243,0,0,59432950,21710871,16244599,49421743,0,8595052,98217280,0,1365482,0,0,906948,1633496,0,0,50244926,30835781,65357080,2019940,1733200,0,0,27809709,828556,60572777,13041944,65542177,30249708,19889174,14638898,36534996,51441338,8664616,631824,652691,4293972,19904519,124323204,0,109578280,6318088,125957,0,240345529,62625119,0,139092910,38627500,240345529,44072325,288179108,-248281047,189088041,66853633,274198921,164620641,0,4319032,0,143910178,4817268,6184869,153518090,684,295,1290774,188600,1479374,198,0,101366,426271,397649,11312,151398,78191,52653,15998,54251,1685,357411,277289,389092,0,132172,10153,124657,0,418030,317344,448541,0,147349,11287,136823,0
106231013,ADVENTIST HEALTH MENDOCINO COAST,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Mendocino,1,111,Non-Profit,General,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,JUDY LEACH,ADMINISTRATOR,WWW.ADVENTISTHEALTH.ORG/MENDOCINO-COAST,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-1325,1538113725,,25,25,16,3085,175,241,1291,0,324,5,10,37,5168,429,32,52,218,0,63,1,2,10,807,19,0,0,0,6,0,2955,0,0,0,2213,0,669,0,0,0,138,0,56.6,56.6,6.4,4.4,0,0,0,31645,4112,4672,16485,0,11499,4179,288,1406,74286,7490,17028,0,48634,0,2,8393,53894,81,1620,0,0,112894569,57863812,198357,55229114,1390901,67685473,-11065458,2126132,1647496,0,0,-10586822,16747885,23560702,72585982,16905231,1252447,1271578,5568237,0,2874925,51629,103197,364432,28391676,40606774,4852769,4522315,16956762,0,14778705,1282669,256567,1246332,84502893,26535614,4814441,3565809,14871563,0,0,5481764,694976,808305,0,523393,0,567947,0,198357,0,0,30976391,1290775,2169790,7746458,0,12171866,639322,0,234512,0,70502,100500,9130,0,0,6507788,12866818,18761556,0,0,0,0,9694433,4459810,12061189,3333879,18472903,8415535,8000005,5855053,9386735,12007529,138159,2420768,215629,908631,1864526,24277942,0,8959550,173317,0,0,33410809,34085203,0,4250428,-4924822,33410809,0,18219198,-9338166,0,11609607,11609607,2650057,0,0,0,5875123,1624695,412618,5671666,236,94,455287,57108,512395,42,0,41025,52722,64890,0,109585,117305,43775,4940,21045,0,66102,120437,92749,0,67950,63753,44296,0,73335,135752,105476,0,75843,72383,49606,0
106100797,ADVENTIST HEALTH REEDLEY,1/1/2021,12/31/2021,365,Audited,Incl. Ind. Audit Adj.,Fresno,9,607,Non-Profit,General,Comparable,Rural,559-638-8155,372 WEST CYPRESS AVENUE,REEDLEY,93654,ANDREA KOFL,CEO,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,MATTHEW GOSS,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-0192,HSC00192F,,49,49,24,1754,635,1341,3115,0,29,590,0,270,7734,298,129,249,824,0,11,192,0,43,1746,28,0,0,0,21,0,4290,0,0,0,3444,0,1603,0,0,0,143,0,43.2,43.2,4.4,2.7,12,1790,1034,70609,24960,47009,317903,0,7660,78634,0,21973,568748,32022,493029,0,44152,0,3,3345,15750,40,235,835,393,358229362,175523322,1946443,184652483,20689448,202169610,3172321,4469690,0,0,0,7642011,17696696,191042624,149490042,8069656,3410668,7182719,23882394,0,292572,5104670,0,1199192,49141871,43390545,13599243,20545946,166848394,0,8681867,44077375,0,11944121,309087491,16036553,12339237,11099510,86978491,446625,0,4690194,24584166,5687001,0,3411995,0,10249550,6916,1939527,0,0,33344447,3997772,16204749,104348308,0,3218921,21685568,0,1852718,0,0,42208,4399500,0,0,7417150,93148808,16961553,0,440320,0,1875994,10017600,10499336,51971638,9837211,48381889,21343639,36045737,806381,13163857,65386506,3900933,5859031,542315,1000968,5738354,205941445,0,71819860,2193144,0,9944063,289898512,63906484,0,82262226,143729802,289898512,169658686,55017355,-29087584,33977869,66919672,109478151,37658291,0,0,82262226,85351730,3089504,227042,9322351,712,266,1320293,164799,1485092,132,12,106525,227659,137207,50716,362740,249219,9925,171966,3170,1166,99067,1005497,111570,25913,17273,382,60591,0,114228,1133282,126813,27672,18664,382,64051,0
